SPY,SPY,SPY,SPY,SPY,SPY,SPY,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,TROW,TROW,TROW,TROW,TROW,TROW,TROW,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,VTI,VTI,VTI,VTI,VTI,VTI,VTI
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
283.2,284.11,283.09,283.3,58005495,237666,283.483326,283.2,284.11,283.09,283.3,58005495,237666,283.483326,283.2,284.11,283.09,283.3,58005495,237666,283.483326,283.2,284.11,283.09,283.3,58005495,237666,283.483326,283.2,284.11,283.09,283.3,58005495,237666,283.483326
283.71,283.82,280.38,281.46,78312976,326991,281.784023,283.71,283.82,280.38,281.46,78312976,326991,281.784023,283.71,283.82,280.38,281.46,78312976,326991,281.784023,283.71,283.82,280.38,281.46,78312976,326991,281.784023,283.71,283.82,280.38,281.46,78312976,326991,281.784023
281.51,281.69,279.36,279.9,64319758,252060,280.290726,281.51,281.69,279.36,279.9,64319758,252060,280.290726,281.51,281.69,279.36,279.9,64319758,252060,280.290726,281.51,281.69,279.36,279.9,64319758,252060,280.290726,281.51,281.69,279.36,279.9,64319758,252060,280.290726
280.7,282.02,280.38,281.19,68584293,275208,281.218025,280.7,282.02,280.38,281.19,68584293,275208,281.218025,280.7,282.02,280.38,281.19,68584293,275208,281.218025,280.7,282.02,280.38,281.19,68584293,275208,281.218025,280.7,282.02,280.38,281.19,68584293,275208,281.218025
281.56,282.13,280.1315,280.89,55015826,244835,281.076175,281.56,282.13,280.1315,280.89,55015826,244835,281.076175,281.56,282.13,280.1315,280.89,55015826,244835,281.076175,281.56,282.13,280.1315,280.89,55015826,244835,281.076175,281.56,282.13,280.1315,280.89,55015826,244835,281.076175
279.39,282.58,279.16,282.36,63766084,247750,281.496534,279.39,282.58,279.16,282.36,63766084,247750,281.496534,279.39,282.58,279.16,282.36,63766084,247750,281.496534,279.39,282.58,279.16,282.36,63766084,247750,281.496534,279.39,282.58,279.16,282.36,63766084,247750,281.496534
282.53,283.6577,282.33,283.62,53965986,201724,283.200895,282.53,283.6577,282.33,283.62,53965986,201724,283.200895,282.53,283.6577,282.33,283.62,53965986,201724,283.200895,282.53,283.6577,282.33,283.62,53965986,201724,283.200895,282.53,283.6577,282.33,283.62,53965986,201724,283.200895
283.64,284.99,283.2015,284.66,39450487,159467,284.366423,283.64,284.99,283.2015,284.66,39450487,159467,284.366423,283.64,284.99,283.2015,284.66,39450487,159467,284.366423,283.64,284.99,283.2015,284.66,39450487,159467,284.366423,283.64,284.99,283.2015,284.66,39450487,159467,284.366423
285.39,286.01,285.24,285.58,43427090,181015,285.635439,285.39,286.01,285.24,285.58,43427090,181015,285.635439,285.39,286.01,285.24,285.58,43427090,181015,285.635439,285.39,286.01,285.24,285.58,43427090,181015,285.635439,285.39,286.01,285.24,285.58,43427090,181015,285.635439
285.39,285.91,284.94,285.44,42273966,154349,285.479104,285.39,285.91,284.94,285.44,42273966,154349,285.479104,285.39,285.91,284.94,285.44,42273966,154349,285.479104,285.39,285.91,284.94,285.44,42273966,154349,285.479104,285.39,285.91,284.94,285.44,42273966,154349,285.479104
285.53,285.97,284.915,285.09,37130583,140980,285.455348,285.53,285.97,284.915,285.09,37130583,140980,285.455348,285.53,285.97,284.915,285.09,37130583,140980,285.455348,285.53,285.97,284.915,285.09,37130583,140980,285.455348,285.53,285.97,284.915,285.09,37130583,140980,285.455348
283.45,284.055,282.36,283.16,77399449,292690,283.35056,283.45,284.055,282.36,283.16,77399449,292690,283.35056,283.45,284.055,282.36,283.16,77399449,292690,283.35056,283.45,284.055,282.36,283.16,77399449,292690,283.35056,283.45,284.055,282.36,283.16,77399449,292690,283.35056
283.47,284.16,281.77,282.08,65970064,270772,282.691061,283.47,284.16,281.77,282.08,65970064,270772,282.691061,283.47,284.16,281.77,282.08,65970064,270772,282.691061,283.47,284.16,281.77,282.08,65970064,270772,282.691061,283.47,284.16,281.77,282.08,65970064,270772,282.691061
282.92,284.17,282.05,283.82,43929923,193568,283.605244,282.92,284.17,282.05,283.82,43929923,193568,283.605244,282.92,284.17,282.05,283.82,43929923,193568,283.605244,282.92,284.17,282.05,283.82,43929923,193568,283.605244,282.92,284.17,282.05,283.82,43929923,193568,283.605244
282.38,282.54,280.16,281.75,102949355,437746,281.355281,282.38,282.54,280.16,281.75,102949355,437746,281.355281,282.38,282.54,280.16,281.75,102949355,437746,281.355281,282.38,282.54,280.16,281.75,102949355,437746,281.355281,282.38,282.54,280.16,281.75,102949355,437746,281.355281
283.4,285.04,283.36,284.08,69968919,259400,284.017323,283.4,285.04,283.36,284.08,69968919,259400,284.017323,283.4,285.04,283.36,284.08,69968919,259400,284.017323,283.4,285.04,283.36,284.08,69968919,259400,284.017323,283.4,285.04,283.36,284.08,69968919,259400,284.017323
283.83,285.5601,283.37,285.02,66354435,244275,284.606982,283.83,285.5601,283.37,285.02,66354435,244275,284.606982,283.83,285.5601,283.37,285.02,66354435,244275,284.606982,283.83,285.5601,283.37,285.02,66354435,244275,284.606982,283.83,285.5601,283.37,285.02,66354435,244275,284.606982
285.57,285.97,285.06,285.68,39817739,160489,285.568037,285.57,285.97,285.06,285.68,39817739,160489,285.568037,285.57,285.97,285.06,285.68,39817739,160489,285.568037,285.57,285.97,285.06,285.68,39817739,160489,285.568037,285.57,285.97,285.06,285.68,39817739,160489,285.568037
